ID,Name,Code,Country
1308,Airlines PNG,TOK,Papua New Guinea
1309,Aero Tanala,TON,Mexico
1310,Aero Tropical,TPB,Angola
1311,Air Cal,TPC,France
1312,Air Horizon,TPK,Chad
1313,Aero Taxi del Potosi,TPO,Mexico
1314,Aeroturquesa,TQS,Mexico
1315,Airmark Aviation,TRH,United States
1316,AirTran Airways,TRS,United States
1317,Air Transat,TSC,Canada
1318,airtransse,TSQ,Japan
1319,Aerolineas Turisticas del Caribe,TTB,Mexico
1320,Avcenter,TTE,United States
1321,Air Tungaru,TUN,Kiribati
1322,Avialeasing Aviation Company,TWN,Uzbekistan
1323,Aerotaxis del Noroeste,TXD,Mexico
1324,Aerotaxis Alfe,TXF,Mexico
1325,Aereotaxis,TXI,Mexico
1326,Tyrolean Airways,TYR,Austria
1327,Aero Tomza,TZA,Mexico
1328,Air Zambezi,TZT,Zimbabwe
1329,Afra Airlines,UAG,Ghana
1330,Aerostar Airlines,UAR,Ukraine
1331,Air Division of the Eastern Kazakhstan Region,UCK,Kazakhstan
1332,Aero-Charter Ukraine,UCR,Ukraine
1333,Air LA,UED,United States
1334,Air Ukraine,UKR,Ukraine
1335,Air Umbria,UMB,Italy
1336,Atuneros Unidos de California,UND,Mexico
1337,Aeroclub Flaps,FLP,Spain
1338,Aerolineas Galapagos (Aerogal),GLG,Ecuador
1339,Air Castle Corporation / Global Airways,GLB,United States
1340,Alrosa Mirny Air Enterprise,DRU,Russia
1341,Bearing Supplies Limited,PVO,United Kingdom
1342,Balkan Agro Aviation,BAA,Bulgaria
1343,Bahrain Air BSC (Closed),BAB,Bahrain
1344,BAC Leasing Limited,BAC,United Kingdom
1345,BAE Systems,BAE,United Kingdom
1346,Belgian Air Force,BAF,Belgium
1347,Baker Aviation,BAJ,United States
1348,Blackhawk Airways,BAK,United States
1349,Britannia Airways,BAL,United Kingdom
1350,Business Air Services,BAM,Canada
1351,British Antarctic Survey,BAN,United Kingdom
1352,Bradly Air (Charter) Services,BAR,Canada
1353,Bissau Airlines,BAU,Guinea-Bissau
1354,Bay Aviation Ltd,BAV,Bangladesh
1355,British Airways,BAW,United Kingdom
1356,Best Aero Handling Ltd,BAX,Russia
1357,Bayon Airlines,BAY,Cambodia
1358,Bannert Air,BBA,Austria
1359,Biman Bangladesh Airlines,BBC,Bangladesh
1360,Bluebird Cargo,BBD,Iceland
1361,Beibars CJSC,BBS,Kazakhstan
1362,Bravo Airlines,BBV,Spain
1363,Blue Bird Aviation,BBZ,Kenya
1364,BACH Flugbetriebsges,BCF,Austria
1365,Blue Islands,BCI,United Kingdom
1366,British Caribbean Airways,BCL,United Kingdom
1367,British Charter,BCR,United Kingdom
1368,BCT Aviation,BCT,United Kingdom
1369,Business Aviation Center,BCV,Ukraine
1370,Blue Dart Aviation,BDA,India
1371,B&H Airlines,BON,Bosnia and Herzegovina
1372,Bissau Discovery Flying Club,BDF,Guinea-Bissau
1373,Belgian Army,AYB,Belgium
1374,Badr Airlines,BDR,Sudan
1375,Best Aviation Ltd,BEA,Bangladesh
1376,Belgorod Aviation Enterprise,BED,Russia
1377,Bar Harbor Airlines,AJC,United States
1378,Balear Express,BEF,Spain
1379,Bel Air Helicopters,BEH,Denmark
1380,Berkut Air,BEK,Kazakhstan
1381,BETA - Brazilian Express Transportes Aereos,BET,Brazil
1382,Basler Flight Service,BFC,United States
1383,Bear Flight,BFG,Sweden
1384,Buffalo Airways,BFL,Canada
1385,Bombardier,BFO,Canada
1386,Burkina Airlines,BFR,Burkina Faso
1387,Business Flight Sweden,BFS,Sweden
1388,Bahrain Defence Force,BFW,Bahrain
1389,BH Air,BGH,Bulgaria
1390,British Gulf International,BGI,S
1391,British Gulf International-Fez,BGK,Kyrgyzstan
1392,Benin Golf Air,BGL,Benin
1393,Bugulma Air Enterprise,BGM,Russia
1394,Budget Air Bangladesh,BGR,Bangladesh
1395,Bergen Air Transport,BGT,Norway
1396,Buddha Air,BHA,Nepal
1397,Balkh Airlines,BHI,Afghanistan
1398,Bristow Helicopters,BHL,United Kingdom
1399,Bristow Helicopters Nigeria,BHN,Nigeria
1400,Bhoja Airlines,BHO,Pakistan
1401,Belair Airlines,BHP,Switzerland
1402,Bighorn Airways,BHR,United States
1403,Bahamasair,BHS,Bahamas
1404,Bright Air,BHT,Netherlands
1405,Bringer Air Cargo Taxi Aereo,,Brazil
1406,Balkan Bulgarian Airlines,,
1407,BA Connect,,United Kingdom
1408,Bosphorus European Airways,BHY,Turkey
1409,Binair,BID,Germany
1410,Big Island Air,BIG,United States
1411,British International Helicopters,BIH,United Kingdom
1412,Billund Air Center,BIL,Denmark
1413,Boise Interagency Fire Center,BIN,United States
1414,Bird Leasing,BIR,United States
1415,Bizjet Ltd,BIZ,United Kingdom
1416,Baja Air,BJA,Mexico
1417,Baltic Jet Aircompany,BJC,Latvia
1418,Business Jet Solutions,BJS,United States
1419,Bankair,BKA,United States
1420,BF-Lento OY,BKF,Finland
1421,Barken International,BKJ,United States
1422,Bangkok Airways,BKP,Thailand
1423,Bukovyna,BKV,Ukraine
1424,Blue Bird Aviation,BLB,Sudan
1425,Bellesavia,BLC,Belarus
1426,Blue Line,BLE,France
1427,Blue1,BLF,Finland
1428,Belgavia,BLG,Belgium
1429,Blue Horizon Travel Club,BLH,United States
1430,Blue Jet,BLJ,Spain
1431,Baltic Airlines,BLL,Russia
1432,Blue Airways,BLM,Armenia
1433,Bali International Air Service,BLN,Indonesia
1434,Bearskin Lake Air Service,BLS,Canada
1435,Baltic Aviation,BLT,United States
1436,Bellview Airlines,BLV,Nigeria
1437,bmi,BMA,United Kingdom
1438,British Medical Charter,BMD,United Kingdom
1439,Briggs Marine Environmental Services,BME,United Kingdom
1440,Bristow Masayu Helicopters,BMH,Indonesia
1441,bmibaby,BMI,United Kingdom
1442,Bemidji Airlines,BMJ,United States
1443,Bismillah Airlines,BML,Bangladesh
1444,Bowman Aviation,BMN,United States
1445,British Midland Regional,BMR,United Kingdom
1446,BMW,BMW,Germany
1447,Banco de Mexico,BMX,Mexico
1448,Bond Offshore Helicopters,BND,United Kingdom
1449,Benina Air,BNE,Libya
1450,BN Group Limited,BNG,United Kingdom
1451,Blue Nile Ethiopia Trading,BNL,Ethiopia
1452,Bonair Aviation,BNR,Canada
1453,Bancstar - Valley National Corporation,BNS,United States
1454,Bentiu Air Transport,BNT,Sudan
1455,Benane Aviation Corporation,BNV,Mauritania
1456,British North West Airlines,BNW,United Kingdom
1457,Boniair,BOA,Macedonia
1458,Bond Air Services,BOD,Uganda
1459,Boeing,BOE,United States
1460,Bordaire,BOF,Canada
1461,Bookajet Limited,BOO,United Kingdom
1462,Bouraq Indonesia Airlines,BOU,Indonesia
1463,Blue Panorama Airlines,BPA,Italy
1464,Berkhut ZK,BPK,Kazakhstan
1465,Bundepolizei-Fliegertruppe,BPO,Germany
1466,Budapest Aircraft Services/Manx2,BPS,Hungary
1467,Bonus Aviation,BPT,United Kingdom
1468,British Petroleum Exploration,BPX,Colombia
1469,BRA-Transportes Aereos,BRB,Brazil
1470,Brock Air Services,BRD,Canada
1471,Breeze Ltd,BRE,Ukraine
1472,Bering Air,BRG,United States
1473,Briansk State Air Enterprise,BRK,Russia
1474,Branson Airlines,BRN,United States
1475,BASE Regional Airlines,BRO,Netherlands
1476,Brazilian Air Force,BRS,Brazil
1477,British Regional Airlines,BRT,United Kingdom
1478,Belavia Belarusian Airlines,BRU,Belarus
1479,Bravo Air Congo,BRV,Democratic Republic of the Congo
1480,Bright Aviation Services,BRW,Bulgaria
1481,Braniff International Airways,BNF,United States
1482,Buffalo Express Airlines,BRX,United States
1483,Burundayavia,BRY,Kazakhstan
1484,Bistair - Fez,BSC,Kyrgyzstan
1485,Blue Star Airlines,BSD,Mexico
1486,Brasair Transportes Aereos,BSI,Brazil
1487,Blue Swann Aviation,BSJ,United Kingdom
1488,Blue Sky Aviation,BSM,Lebanon
1489,Bissau Aero Transporte,BSS,Guinea-Bissau
1490,Best Air,BST,Turkey
1491,Blue Sky Airways,BSW,Czech Republic
1492,Big Sky Airlines,BSY,United States
1493,BAL Bashkirian Airlines,BTC,Russia
1494,Baltijas Helicopters,BTH,Latvia
1495,Baltyka,BTK,Ukraine
1496,Baltia Air Lines,BTL,United States
1497,Botir-Avia,BTR,Kyrgyzstan
1498,Business Express,GAA,United States
1499,BT-Slavuta,BTT,Ukraine
1500,Metro Batavia,BTV,Indonesia
1501,Bulgarian Air Charter,BUC,Bulgaria
1502,Blue Airlines,BUL,Democratic Republic of the Congo
1503,Buryat Airlines Aircompany,BUN,Russia
1504,Buzz Stansted,BUZ,United Kingdom
1505,Buffalo Airways,BVA,United States
1506,Bulgarian Aeronautical Centre,BVC,Bulgaria
1507,Baron Aviation Services,BVN,United States
1508,Berjaya Air,BVT,Malaysia
1509,Bellview Airlines,BVU,
1510,Blue Wings,BWG,Germany
1511,Blue Wing Airlines,BWI,Suriname
1512,BWA (2002) Ltd,BWL,United Kingdom
1513,Bahrain Executive Air Services,BXA,Bahrain
1514,Bar XH Air,BXH,Canada
1515,Brussels International Airlines,BXI,Belgium
1516,BAX Global,,
1517,Redding Aero Enterprises,BXR,United States
1518,Berry Aviation,BYA,United States
1519,Bylina Joint-Stock Company,BYL,Russia
1520,Berytos Airlines,BYR,Lebanon
1521,Bayu Indonesia Air,BYE,Indonesia
1522,Bizair Fluggesellschaft,BZA,Germany
1523,Brit Air,BZH,France
1524,Butane Buzzard Aviation Corporation,BZZ,United Kingdom
1525,Business Flight Salzburg,AUJ,Austria
1526,BKS Air (Rivaflecha),CKM,Spain
1527,Bristol Flying Centre,CLF,United Kingdom
1528,Barnes Olsen Aeroleasing,CLN,United Kingdom
1529,Baltimore Air Transport,CPJ,United States
1530,Boston-Maine Airways,CXS,United States
1531,Brussels Airlines,DAT,Belgium
1532,Baltimore Airways,EAH,United States
1533,Bond Aviation,EBA,Italy
1534,Brazilian Army Aviation,EXB,Brazil
1535,Business Express Delivery,EXP,Canada
1536,Bel Limited,FOS,Russia
1537,Bangkok Aviation Center,HAW,Thailand
1538,Benair,HAX,Norway
1539,Binter Canarias,IBB,Spain
1540,Bonyad Airlines,IRJ,Iran
1541,Burundaiavia,IVR,Kazakhstan
1542,Blue Air,JOR,Romania
1543,British Mediterranean Airways,LAJ,United Kingdom
1544,Belle Air,LBY,Albania
1545,Blom Geomatics,LED,Norway
1546,Benin Littoral Airways,LTL,Benin
1547,Bombardier Business Jet Solutions,LXJ,United States
1548,Bulgaria Air,LZB,Bulgaria
1549,Brazilian Navy Aviation,MBR,Brazil
1550,Barents AirLink,NKF,Sweden
1551,Belgian Navy,NYB,Belgium
1552,Bakoji Airlines Services,OGJ,Nigeria
1553,Benders Air,PEB,Sweden
1554,Balmoral Central Contracts,PNT,South Africa
1555,BGB Air,POI,Kazakhstan
1556,Butte Aviation,PPS,United States
1557,Bond Air Services,RHD,United Kingdom
1558,Business Airfreight,RLR,United States
1559,BAC Express Airlines,RPX,United Kingdom
1560,Boscombe Down DERA (Formation),RRS,United Kingdom
1561,Business Jet Sweden,SCJ,Sweden
1562,British Airways Shuttle,SHT,United Kingdom
1563,British Sky Broadcasting,SKH,United Kingdom
1564,Bell Helicopter Textron,TXB,Canada
1565,Buzzaway Limited,UKA,United Kingdom
1566,Biz Jet Charter,VLX,United States
1567,Blue Chip Jet,VOL,Sweden
1568,BAE Systems,WFD,United Kingdom
1569,BAE Systems,WTN,United Kingdom
1570,Baseops International,XBO,United States
1571,Bureau Veritas,XDA,France
1572,British Airways,XMS,United Kingdom
1573,Boskovic Air Charters Limited,ZBA,Kenya
1574,C Air Jet Airlines,SRJ,Syrian Arab Republic
1575,C N Air,ORO,Spain
1576,C and M Aviation,TIP,United States
1577,C&M Airways,RWG,United States
1578,C.S.P.,RMU,AIR-MAUR
1579,CABI,CBI,Ukraine
1580,CAI,CPI,Italy
1581,CAL Cargo Air Lines,ICL,Israel
1582,CAM Air Management,CMR,United Kingdom
1583,CATA L,CTZ,Argentina
1584,CCF Manager Airline,CCF,Germany
1585,CEDTA (Compania Ecuatoriana De Transportes Aereos),CED,Ecuador
1586,CHC Denmark,HBI,Denmark
1587,CHC Helicopters,HEM,Australia
1588,CHC Airways,SCH,Netherlands
1589,CHC Helikopter Service,HKS,Norway
1590,CI-Tours,VCI,Ivory Coast
1591,CKC Services,CKC,United States
1592,CM Stair,CMZ,Mauritania
1593,CNET,CNT,France
1594,COAPA AIR,OAP,Mexico
1595,COMAV,PDR,Namibia
1596,CRI Helicopters Mexico,CRH,Mexico
1597,CSA Air,IRO,United States
1598,CSE Aviation,CSE,United Kingdom
1599,CTK Network Aviation,CTQ,Ghana
1600,Cabair College of Air Training,CBR,United Kingdom
1601,Cabo Verde Express,CVE,Cape Verde
1602,Caernarfon Airworld,CWD,United Kingdom
1603,Cairo Air Transport Company,CCE,Egypt
1604,Cal Gulf Aviation,CGC,Sao Tome and Principe
1605,Cal-West Aviation,REZ,United States
1606,California Air Shuttle,CSL,United States
1607,Calima Aviacion,CLI,Spain
1608,Calm Air,CAV,Canada
1609,Camai Air,CAM,United States
1610,Cambodia Airlines,KHM,Cambodia
1611,Cameroon Airlines,UYC,Cameroon
1612,Campania Helicopteros De Transporte,HSO,Spain
1613,CanJet,CJA,Canada
1614,Canada Jet Charters,PIL,Canada
1615,Canadian Airlines,CDN,Canada
1616,Canadian Coast Guard,CTG,Canada
1617,Canadian Eagle Aviation,HIA,Canada
1618,Canadian Forces,CFC,Canada
1619,Canadian Global Air Ambulance,BZD,Canada
1620,Canadian Helicopters,CDN,Canada
1621,Canadian Interagency Forest Fire Centre,TKR,Canada
1622,Canadian National Telecommunications,XNC,Canada
1623,Canadian North,MPE,Canada
1624,Canadian Regional Airlines,CDR,Canada
1625,Canadian Warplane Heritage Museum,CWH,Canada
1626,Canadian Western Airlines,CWA,Canada
1627,Canair,CWW,China
1628,Cancun Air,CUI,Mexico
1629,Cape Air,KAP,United States
1630,Cape Air Transport,CTO,Australia
1631,Cape Central Airways,SEM,United States
1632,Cape Smythe Air,CMY,United States
1633,Capital Air Service,CPX,United States
1634,Capital Airlines,CPD,Kenya
1635,Capital Airlines Limited,NCP,Nigeria
1636,Capital Cargo International Airlines,CCI,United States
1637,Capital City Air Carriers,CCQ,United States
1638,Capital Trading Aviation,EGL,United Kingdom
1639,Capitol Air Express,CEX,United States
1640,Capitol Wings Airline,CWZ,United States
1641,Caravan Air,VAN,Mauritania
1642,Cardiff Wales Flying Club,CWN,United Kingdom
1643,Cardinal/Air Virginia,FVA,United States
1644,Cardolaar,GOL,Namibia
1645,Cards Air Services,CDI,Philippines
1646,Care Flight,CFH,Australia
1647,Carga Aerea Dominicana,CDM,Dominican Republic
1648,Carga Express Internacional,EST,Mexico
1649,Cargo 360,GGC,United States
1650,Cargo Express,MCX,Mauritania
1651,Cargo Ivoire,CRV,Ivory Coast
1652,Cargo Link (Caribbean),CLM,Barbados
1653,Cargo Three,CTW,Panama
1654,Cargoitalia,CRG,Italy
1655,Cargojet Airways,CJT,Canada
1656,Cargolux,CLX,Luxembourg
1657,Cargoman,CGM,Oman
1658,Carib Aviation,DEL,Antigua and Barbuda
1659,Carib Express,BCB,Barbados
1660,Caribair,CBC,Dominican Republic
1661,Caribbean Air Cargo,DCC,Barbados
1662,Caribbean Air Transport,CLT,Netherlands
1663,Caribbean Airlines,BWA,Trinidad and Tobago
1664,Caribbean Airways,IQQ,Barbados
1665,Caribbean Express,TLC,United States
1666,Caribbean Star Airlines,GFI,Antigua and Barbuda
1667,Caribintair,CRT,Haiti
1668,Carill Aviation,CVG,United Kingdom
1669,Carpatair,KRP,Romania
1670,Carranza,CRR,Chile
1671,Carroll Air Service,ULS,United States
1672,Casement Aviation,CMT,United States
1673,Casino Airline,CSO,United States
1674,Casper Air Service,CSP,United States
1675,Caspian Airlines,CPN,Iran
1676,Castle Aviation,CSJ,United States
1677,Cat Aviation,CAZ,Switzerland
1678,Catalina Flying Boats,CBT,United States
1679,Catex,TEX,France
1680,Cathay Pacific,CPA,Hong Kong SAR of China
1681,Caverton Helicopters,CJR,Nigeria
1682,Cayman Airways,CAY,Cayman Islands
1683,Cebu Pacific,CEB,Philippines
1684,Cecil Aviation,CIL,United Kingdom
1685,Cega Aviation,CEG,United Kingdom
1686,Celtic Airways,CEC,United Kingdom
1687,Celtic West,CWE,United Kingdom
1688,Centavia,CNA,Serbia
1689,Cente D'Essais En Vol,CEV,France
1690,Centennial Airlines,CNL,United States
1691,Centennial Flight Centre,CNS,Canada
1692,Center Vol,CVO,Spain
1693,Center-South,CTS,Russia
1694,Centrafrican Airlines,CET,Central African Republic
1695,Central Air Express,CAX,Democratic Republic of Congo
1696,Central Airlines,CTL,United States
1697,Central Airways,CNY,Sierra Leone
1698,Central American Airlines,ACN,Nicaragua
1699,Central Aviation,YOG,United States
1700,Central Connect Airlines,CCG,Czech Republic
1701,Central De Discos De Reynosa,DRN,Mexico
1702,Central European Airlines,CMA,Czech Republic
1703,Central Flying Service,CHA,United States
1704,Central Mongolia Airways,CEM,Mongolia
1705,Central Mountain Air,GLR,Canada
1706,Central Queensland Aviation College,CQC,Australia
1707,Central Skyport,CSI,United States
1708,Centralwings,CLW,Poland
1709,Centre Airlines,DTV,United States
1710,Centre of Applied Geodynamica,CGS,Russia
1711,Centre-Avia,CVC,Russia
1712,Centro De Helicopteros Corporativos,CCV,Mexico
1713,Centro de Formacion Aeronautica de Canarias,ACF,Spain
1714,Centurion Air Cargo,CWC,United States
1715,Century Aviation,URY,Mexico
1716,Century Aviation International,HAI,Canada
1717,Certified Air Dispatch,XAD,United States
1718,Cetraca Aviation Service,CER,Democratic Republic of the Congo
1719,Chabahar Airlines,IRU,Iran
1720,Chalair Aviation,CLG,France
1721,Chalk's Ocean Airways,CHK,United States
1722,Challenge Air Transport,CLS,Germany
1723,Challenge Aviation,CHS,Australia
1724,Challenge International Airlines,OFF,United States
1725,AC Challenge Aero,CHG,Ukraine
1726,Champagne Airlines,CPH,France
1727,Champion Air,CCP,United States
1728,Chanchangi Airlines,NCH,Nigeria
1729,Changan Airlines,CGN,China
1730,Channel Island Aviation,CHN,United States
1731,Chantilly Air,WML,United States
1732,Chaparral Airlines,CPL,United States
1733,Chari Aviation Services,CSU,Chad
1734,Charlan Air Charter,CAH,South Africa
1735,Charlie Hammonds Flying Service,HMD,United States
1736,Charlotte Air National Guard,CGD,United States
1737,Charter Air,CHW,Austria
1738,Chartright Air,HRT,Canada
1739,Chautauqua Airlines,CHQ,United States
1740,Cheboksary Airenterprise JSC,CBB,Russia
1741,Chemech Aviation,CHM,Pakistan
1742,Cherline,CHZ,Russia
1743,Chernomor-Avia,CMK,Russia
1744,Cherokee Express,CBM,United States
1745,Cherry Air,CCY,United States
1746,Chesapeake Air Service,CAB,United States
1747,Chevron U.S.A,CVR,United States
1748,Cheyenne Airways,CYA,United States
1749,Chicago Air,CGO,United States
1750,Chicago Express,WDY,United States
1751,Chief Rat Flight Services,RAT,South Africa
1752,Chilchota Taxi Aereo,CCH,Mexico
1753,Chilcotin Caribou Aviation,DES,Canada
1754,Chilliwack Aviation,CAD,Canada
1755,Chim-Nir Aviation,ETN,Israel
1756,China Airlines,CAL,Taiwan
1757,China Cargo Airlines,CKK,China
1758,China Eastern Airlines,CES,China
1759,China Express Airlines,HXA,China
1760,China Flying Dragon Aviation,CFA,China
1761,China General Aviation Corporation,CTH,China
1762,China National Aviation Corporation,CAG,China
1763,China Northern Airlines,CBF,China
1764,China Northwest Airlines,CNW,China
1765,China Ocean Helicopter Corporation,CHC,China
1766,China Postal Airlines,CYZ,China
1767,China Southern Airlines,CSN,China
1768,China Southwest Airlines,CXN,China
1769,China United Airlines,CUA,China
1770,China Xinhua Airlines,CXH,China
1771,Yunnan Airlines,CYH,China
1772,Chinguetti Airlines,CGU,Mauritania
1773,Chipola Aviation,CEP,United States
1774,Chippewa Air Commuter,CPW,United States
1775,Chitaavia,CHF,Russia
1776,Christman Air System,CAS,United States
1777,Christophorus Flugrettungsverein,OEC,Austria
1778,Chrome Air Services,CHO,United States
1779,Church Aircraft,CHU,United States
1780,Cielos Airlines,CIU,Peru
1781,Cimber Air,CIM,Denmark
1782,Cirrus,RRU,Chile
1783,Cirrus Air,NTS,United States
1784,Cirrus Airlines,RUS,Germany
1785,Cirrus Middle East,JTI,Lebanon
1786,Citationshares,FIV,United States
1787,Citibank,XCX,United States
1788,Citic General Aviation,HZX,China
1789,City Airline,SDR,Sweden
1790,City Connexion Airlines,CIX,Burundi
1791,City of Bangor,XBG,United States
1792,CityJet,BCY,Ireland
1793,Cityair (Chester) Limited,CAQ,United Kingdom
1794,Cityfly,CII,Italy
1795,BA CityFlyer,CFE,United Kingdom
1796,Cityline Hungary,CNB,Hungary
1797,Citylink Airlines,HSR,United States
1798,Civair Airways,CIW,South Africa
1799,Civil Air Patrol South Carolina Wing,BKR,United States
1800,Civil Air Transport,CAT,Taiwan
1801,Civil Aviation Authority,CIA,Slovakia
1802,Civil Aviation Authority of New Zealand,CIV,New Zealand
1803,Civil Aviation Inspectorate of the Czech Republic,CBA,Czech Republic
1804,Claessens International Limited,FMC,United Kingdom
1805,Clark Aviation,CLK,United States
1806,Clasair,CSF,United Kingdom
1807,Clay Lacy Aviation,CLY,United States
1808,Click Airways,CGK,Kyrgyzstan
1809,Cloud 9 Air Charters,CLZ,South Africa
1810,Clowes Estates Limited,CLD,United Kingdom
1811,Club 328,SDJ,United Kingdom
1812,Club Air,ISG,Italy
1813,Coast Air,CST,Norway
1814,Coastal Air,,United States
1815,Coastal Air Transport,TCL,United States
1816,Coastal Airways,CNG,United States
1817,Coastal Travels,CSV,Tanzania
1818,Cohlmia Aviation,CHL,United States
1819,Colaereos,OLR,Ecuador
1820,Colemill Enterprises,CLE,United States
1821,Colgan Air,CJC,United States
1822,Colibri Aviation,CAE,Canada
1823,Colt International,CCX,United States
1824,Columbia Airlines,COL,Canada
1825,Columbia Helicopters,WCO,United States
1826,Columbus Air Transport,KLR,United States
1827,Colvin Aviation,GHP,United States
1828,Comair,COM,United States
1829,Comair,CAW,South Africa
1830,Comed Group,CDE,United Kingdom
1831,Comeravia,CVV,Venezuela
1832,Comercial Aerea,CRS,Mexico
1833,Comet Airlines,CMG,Nigeria
1834,Comfort Air,FYN,Germany
1835,Comlux Aviation,CLA,Switzerland
1836,Commair Aviation,CMH,United Kingdom
1837,Commandement Du Transport Aerien Militaire Francais,CTM,France
1838,Commander Air Charter,CML,Canada
1839,Commander Mexicana,CRM,Mexico
1840,Commercial Aviation,CMS,Canada
1841,Commodore Aviation,GAR,Australia
1842,Commonwealth Jet Service,CJS,United States
1843,CommutAir,UCA,United States
1844,Comores Airlines,CWK,Comoros
1845,Compagnia Generale Ripreseaeree,CGR,Italy
1846,Compagnie Aerienne du Mali,CMM,Mali
1847,Compagnie Mauritanienne Des Transports,CPM,Mauritania
1848,Compagnie de Bauxites de Guinee,GIC,Guinea
1849,Compania Aerea de Valencia,AIF,Spain
1850,Compania Aerotecnicas Fotograficas,ATF,Spain
1851,Compania Boliviana de Transporte Aereo Privado Aerosur,ASU,ASUR
1852,Compania De Actividades Y Servicios De Aviacion,LCT,Spain
1853,Compania Ejecutiva,EJV,Mexico
1854,Compania Helicopteros Del Sureste,HSE,Spain
1855,Compania Mexicana De Aeroplanos,MDR,Mexico
1856,Compania Mexicargo,MXC,Mexico
1857,Compania Transportes Aereos Del Sur,HSS,Spain
1858,Compania de Servicios Aereos Tavisa,TAV,Spain
1859,Company Flight,CYF,Denmark
1860,Compass Airlines,CPZ,United States
1861,Compass International Airways,CPS,United Kingdom
1862,Compuflight Operations Service,XCO,United States
1863,Compuserve Incorporated,XCS,United States
1864,Conair Aviation,CRC,Canada
1865,Concordavia,COD,Ukraine
1866,Condor Aero Services,CNR,United States
1867,Condor,CIB,Germany
1868,Condor Flugdienst,CFG,Germany
1869,Confort Air,COF,Canada
1870,Congo Air,CAK,Bahamas
1871,Congressional Air,CGA,United States
1872,Conifair Aviation,ROY,Canada
1873,Connectair Charters,BSN,Canada
1874,Conquest Airlines,CAC,United States
1875,Conroe Aviation Services,CXO,United States
1876,Consorcio Aviaxsa,CHP,Mexico
1877,Consorcio Helitec,VCH,Venezuela
1878,Constanta Airline,UZA,Ukraine
1879,Contact Air,KIS,Germany
1880,Contel ASC,XCL,United States
1881,Continental Airlines,COA,United States
1882,Continental Airways,PVV,Russia
1883,Continental Express,,United States
1884,Continental Micronesia,CMI,United States
1885,Continental Oil,CON,United States
1886,Conviasa,VCV,Venezuela
1887,Cook Inlet Aviation,CKA,United States
1888,Cooper Aerial Surveys,SVY,United Kingdom
1889,Copa Airlines,CMP,Panama
1890,Copenhagen Airtaxi,CAT,Denmark
1891,Copper State Air Service,COP,United States
1892,Copterline,AAQ,Finland
1893,Coptrade Air Transport,CCW,Sudan
1894,Corendon Airlines,CAI,Turkey
1895,Coronado Aerolineas,CRA,Colombia
1896,Corpac Canada,CPB,Canada
1897,Corporacion Aereo Cencor,CNC,Mexico
1898,Corporacion Aeroangeles,CPG,Mexico
1899,Corporacion Paraguaya De Aeronautica,CGY,Paraguay
1900,Corporate Air,CPT,United States
1901,Corporate Air,CPR,United States
1902,Corporate Aircraft Company,CPO,United States
1903,Corporate Airlink,COO,Canada
1904,Corporate Aviation Services,CKE,United States
1905,Corporate Flight International,VHT,United States
1906,Corporate Flight Management,VTE,United States
1907,Corporate Jets,CJI,United States
1908,Corsairfly,CRL,France
1909,Corse-Mediterranee,CCM,France
1910,Cosmic Air,COZ,Nepal
1911,Cougar Helicopters,CHI,Canada
1912,Coulson Flying Service,MGB,United Kingdom
1913,Country Connection Airlines,NSW,Australia
1914,Country International Airlines,CIK,Kyrgyzstan
1915,Courier Services,CSD,United States
1916,Court Helicopters,CUT,South Africa
1917,Coval Air,CVL,Canada
1918,Cowi,COW,Netherlands
1919,Coyne Aviation,COY,United Kingdom
1920,Cranfield University,CFD,United Kingdom
1921,Cree Airways,CRE,Canada
1922,Crelam,ELM,Mexico
1923,Crest Aviation,CAN,United Kingdom
1924,Crimea Universal Avia,KRM,Ukraine
1925,Croatia Airlines,CTN,Croatia
1926,Croatian Air Force,HRZ,Croatia
1927,Cross Aviation,CRX,United Kingdom
1928,Crossair Europe,ECC,Switzerland
1929,Crow Executive Air,CWX,United States
1930,Crown Air Systems,CKR,United States
1931,Crown Airways,CRO,United States
1932,Crownair,CRW,Canada
1933,Cruiser Linhas Aereas,VCR,Brazil
1934,Cryderman Air Service,CTY,United States
1935,Crystal Shamrock,CYT,United States
1936,Cubana de Aviación,CUB,Cuba
1937,Cumberland Airways (Nicholson Air Service),CBL,United States
1938,Custom Air Transport,CTT,United States
1939,Cygnus Air,RGN,Spain
1940,Cyprair Tours,CYC,Cyprus
1941,Cypress Airlines,CYS,Canada
1942,Cyprus Airways,CYP,Cyprus
1943,Cyprus Turkish Airlines,,Turkey
1944,Czech Air Force,CEF,Czech Republic
1945,Czech Air Handling,AHD,Czech Republic
1946,Czech Airlines,CSA,Czech Republic
1947,Czech Government Flying Service,CIE,Czech Republic
1948,D & D Aviation,DDA,United States
1949,D&K Aviation,DNK,United States
1950,DAP Helicopteros,DHE,Chile
1951,DFS UK Limited,VLF,United Kingdom
1952,DAS Air Cargo,DSR,Uganda
1953,DAS Airlines,RKC,Democratic Republic of the Congo
1954,DAT Danish Air Transport,DTR,Denmark
1955,DAT Enterprise Limited,ENT,United Kingdom
1956,DERA Boscombe Down,BDN,United Kingdom
1957,DESNA,DSN,Ukraine
1958,DETA Air,DET,Kazakhstan
1959,DGO Jet,DGO,Mexico
1960,DHL Aero Expreso,DAE,Panama
1961,DHL Air,DHK,United Kingdom
